Time,Frequ,Polar
46,80.078125,79
47,80.078125,78
48,80.078125,77
49,80.078125,76
50,80.078125,77
51,80.078125,77
52,80.078125,78
53,80.078125,79
54,80.078125,80
55,80.078125,81
56,80.078125,82
57,80.078125,83
58,80.078125,83
59,80.078125,83
60,80.078125,84
61,80.078125,84
62,80.078125,84
63,80.078125,85
64,83.98437500000001,85
65,83.98437500000001,86
66,83.98437500000001,85
67,83.98437500000001,85
68,83.98437500000001,85
69,83.98437500000001,84
70,83.98437500000001,85
71,83.98437500000001,85
72,83.98437500000001,85
73,83.98437500000001,86
74,83.98437500000001,86
75,83.98437500000001,86
76,83.98437500000001,87
77,83.98437500000001,87
78,83.98437500000001,86
79,83.98437500000001,86
80,83.98437500000001,85
81,84.9609375,84
82,85.9375,84
83,85.9375,83
84,85.9375,83
85,85.9375,83
86,85.9375,83
87,85.9375,84
88,85.9375,83
89,85.9375,83
90,85.9375,83
91,85.9375,83
92,85.9375,83
93,85.9375,83
94,85.9375,83
95,84.63541666666667,84
96,83.98437500000001,83
97,83.98437500000001,83
98,83.98437500000001,83
99,83.98437500000001,82
100,83.98437500000001,82
101,83.98437500000001,82
102,83.98437500000001,83
103,83.98437500000001,83
104,83.98437500000001,84
105,83.98437500000001,84
106,83.98437500000001,84
107,83.98437500000001,84
108,83.98437500000001,83
109,83.98437500000001,83
110,82.03125,83
111,82.03125,84
112,82.03125,85
113,82.03125,85
114,82.03125,86
115,82.03125,87
116,82.03125,88
117,82.03125,88
118,82.03125,88
119,82.03125,88
120,82.03125,88
121,83.98437500000001,87
122,83.98437500000001,87
123,83.98437500000001,88
124,83.98437500000001,87
125,83.98437500000001,87
126,83.98437500000001,87
127,83.98437500000001,87
128,83.98437500000001,87
129,83.98437500000001,87
130,83.98437500000001,87
131,86.58854166666667,86
132,87.890625,86
133,87.890625,86
134,87.890625,86
135,87.890625,86
136,86.9140625,87
137,44.92187500000001,87
138,44.92187500000001,87
139,44.92187500000001,87
140,44.92187500000001,86
141,44.92187500000001,85
142,44.92187500000001,85
143,44.92187500000001,84
144,44.92187500000001,83
145,44.92187500000001,82
146,44.92187500000001,82
147,44.92187500000001,81
148,44.92187500000001,81
149,44.92187500000001,81
150,44.92187500000001,81
151,44.92187500000001,81
152,44.92187500000001,80
153,80.078125,79
154,80.078125,78
155,80.078125,77
156,80.078125,77
157,80.078125,77
158,80.078125,77
159,80.078125,77
160,80.078125,77
161,80.078125,77
162,80.078125,77
163,80.078125,77
164,80.078125,78
165,79.1015625,78
166,78.12500000000001,79
167,78.12500000000001,79
168,78.12500000000001,80
169,78.12500000000001,80
170,78.12500000000001,80
171,78.12500000000001,81
172,78.12500000000001,80
173,78.12500000000001,80
174,78.12500000000001,80
175,78.12500000000001,79
176,76.171875,79
177,76.171875,78
178,76.171875,78
179,76.171875,79
180,76.171875,79
