Time,Frequ
46,80.078125
47,80.078125
48,80.078125
49,80.078125
50,80.078125
51,80.078125
52,80.078125
53,80.078125
54,80.078125
55,80.078125
56,80.078125
57,80.078125
58,80.078125
59,80.078125
60,80.078125
61,80.078125
62,80.078125
63,82.03125
64,83.98437500000001
65,83.98437500000001
66,83.98437500000001
67,83.98437500000001
68,83.98437500000001
69,83.98437500000001
70,83.98437500000001
71,83.98437500000001
72,83.98437500000001
73,83.98437500000001
74,83.98437500000001
75,83.98437500000001
76,83.98437500000001
77,83.98437500000001
78,83.98437500000001
79,83.98437500000001
80,83.98437500000001
81,83.98437500000001
82,85.9375
83,85.9375
84,85.9375
85,85.9375
86,85.9375
87,85.9375
88,85.9375
89,85.9375
90,85.9375
91,85.9375
92,85.9375
93,85.9375
94,85.9375
95,84.63541666666667
96,83.98437500000001
97,83.98437500000001
98,83.98437500000001
99,83.98437500000001
100,83.98437500000001
101,83.98437500000001
102,83.98437500000001
103,83.98437500000001
104,83.98437500000001
105,83.98437500000001
106,83.98437500000001
107,83.98437500000001
108,83.98437500000001
109,83.98437500000001
110,83.98437500000001
111,83.98437500000001
112,83.98437500000001
113,83.98437500000001
114,83.98437500000001
115,83.98437500000001
116,83.0078125
117,82.03125
118,82.03125
119,82.03125
120,82.03125
121,83.98437500000001
122,83.98437500000001
123,83.98437500000001
124,83.98437500000001
125,83.98437500000001
126,83.98437500000001
127,83.98437500000001
128,83.0078125
129,82.03125
130,82.03125
131,84.63541666666667
132,52.73437500000001
133,52.73437500000001
134,52.73437500000001
135,52.73437500000001
136,52.73437500000001
137,46.8750
138,45.8984375
139,44.92187500000001
140,44.92187500000001
141,44.92187500000001
142,44.92187500000001
143,44.92187500000001
144,44.92187500000001
145,44.92187500000001
146,44.92187500000001
147,44.92187500000001
148,44.92187500000001
149,44.92187500000001
150,44.92187500000001
151,44.92187500000001
152,44.92187500000001
153,64.453125
154,82.03125
155,82.03125
156,82.03125
157,80.078125
158,80.078125
159,80.078125
160,80.078125
161,80.078125
162,80.078125
163,80.078125
164,78.12500000000001
165,78.12500000000001
166,78.12500000000001
167,78.12500000000001
168,78.12500000000001
169,78.12500000000001
170,78.12500000000001
171,78.12500000000001
172,78.12500000000001
173,78.12500000000001
174,78.12500000000001
175,78.12500000000001
176,78.12500000000001
177,78.12500000000001
178,78.12500000000001
179,78.12500000000001
180,78.12500000000001
180,78.12500000000001
